Zm00001d027230	Zm00001eb000010
Zm00001d002253	Zm00001eb070200
Zm00001d002255	Zm00001eb070220
Zm00001d002256	Zm00001eb070230
Zm00001d002257	Zm00001eb070240
Zm00001d002258	Zm00001eb070250
Zm00001d002259	Zm00001eb070260
Zm00001d002260	Zm00001eb070270
Zm00001d002261	Zm00001eb070280
Zm00001d002262	Zm00001eb070290
Zm00001d002263	Zm00001eb070300
Zm00001d002266	Zm00001eb070310
Zm00001d002267	Zm00001eb070320
Zm00001d002268	chr2_9440594_9440851_-
Zm00001d002269	Zm00001eb070330
Zm00001d002271	Zm00001eb070350
Zm00001d002272	Zm00001eb070360
Zm00001d002274	Zm00001eb070390
Zm00001d002275	Zm00001eb070400
Zm00001d002276	chr2_9579514_9579993_+
Zm00001d002277	Zm00001eb070410
Zm00001d002277	Zm00001eb070420
Zm00001d002278	Zm00001eb070430
Zm00001d002279	chr2_9699531_9701428_+
Zm00001d002280	chr2_9733672_9742429_-
Zm00001d002281	chr2_9757999_9758652_-
Zm00001d002282	Zm00001eb070450
Zm00001d002283	Zm00001eb070460
Zm00001d002284	Zm00001eb070480
Zm00001d002285	Zm00001eb070490
Zm00001d002286	Zm00001eb070500
Zm00001d002287	Zm00001eb070510
Zm00001d002288	Zm00001eb070520
Zm00001d002290	chr2_9927534_9927992_-
Zm00001d002292	Zm00001eb070550
Zm00001d002295	Zm00001eb070560
Zm00001d002296	Zm00001eb070570
Zm00001d002299	Zm00001eb070580
Zm00001d002301	Zm00001eb070600
Zm00001d002302	Zm00001eb070620
Zm00001d002302	Zm00001eb070630
Zm00001d002304	Zm00001eb070660
Zm00001d002305	Zm00001eb070670
Zm00001d002307	Zm00001eb070680
Zm00001d002308	Zm00001eb070690
Zm00001d002309	Zm00001eb070700
Zm00001d002311	chr2_10343524_10343820_-
Zm00001d002312	Zm00001eb070720
Zm00001d002313	Zm00001eb070730
Zm00001d002314	Zm00001eb070740
Zm00001d002315	Zm00001eb070750
Zm00001d002316	Zm00001eb070760
Zm00001d002317	Zm00001eb070770
Zm00001d002318	Zm00001eb070780
Zm00001d002319	Zm00001eb070790
Zm00001d002320	Zm00001eb070800
Zm00001d002320	Zm00001eb070810
Zm00001d018011	Zm00001eb070790
Zm00001d002323	Zm00001eb070820
Zm00001d002324	Zm00001eb070830
Zm00001d002325	Zm00001eb070840
Zm00001d002326	Zm00001eb070860
Zm00001d002328	Zm00001eb070880
Zm00001d002330	chr2_10736695_10745806_+
Zm00001d002331	chr2_10748086_10748964_+
Zm00001d002332	Zm00001eb070890
Zm00001d002332	Zm00001eb070900
Zm00001d002333	Zm00001eb070910
Zm00001d002334	Zm00001eb070920
Zm00001d002336	Zm00001eb070930
Zm00001d002338	Zm00001eb070940
Zm00001d002339	Zm00001eb070950
Zm00001d002340	Zm00001eb070960
Zm00001d002341	Zm00001eb070970
Zm00001d002342	Zm00001eb070980
Zm00001d002343	Zm00001eb071010
Zm00001d002345	Zm00001eb071030
Zm00001d002346	Zm00001eb071040
Zm00001d002347	Zm00001eb071050
Zm00001d002348	Zm00001eb071060
Zm00001d002349	Zm00001eb071070
Zm00001d002350	Zm00001eb071080
Zm00001d002351	Zm00001eb071090
Zm00001d002353	Zm00001eb071110
Zm00001d002356	Zm00001eb071120
Zm00001d002357	Zm00001eb071130
Zm00001d002358	Zm00001eb071140
Zm00001d002359	Zm00001eb071150
Zm00001d002360	Zm00001eb071160
Zm00001d002361	chr2_11145925_11147197_+
Zm00001d002362	Zm00001eb071170
Zm00001d002364	Zm00001eb071190
Zm00001d002365	Zm00001eb071200
Zm00001d002366	Zm00001eb071210
Zm00001d002367	Zm00001eb071220
Zm00001d002369	Zm00001eb071240
Zm00001d002370	Zm00001eb071250
Zm00001d002371	Zm00001eb071280
Zm00001d002372	Zm00001eb071290
Zm00001d002373	Zm00001eb071300
Zm00001d002374	Zm00001eb071310
Zm00001d002375	Zm00001eb071320
Zm00001d002377	Zm00001eb071360
Zm00001d002378	Zm00001eb071370
Zm00001d002379	chr2_11772464_11774543_+
Zm00001d002380	Zm00001eb071380
Zm00001d002381	Zm00001eb071390
Zm00001d002382	Zm00001eb071400
Zm00001d002383	Zm00001eb071410
Zm00001d002384	Zm00001eb071430
Zm00001d002385	Zm00001eb071440
Zm00001d002386	Zm00001eb071460
Zm00001d002387	Zm00001eb071470
Zm00001d002388	Zm00001eb071480
Zm00001d002390	Zm00001eb071490
Zm00001d002391	Zm00001eb071500
Zm00001d002392	chr2_12059305_12062161_+
Zm00001d002393	Zm00001eb071510
Zm00001d002394	Zm00001eb071530
Zm00001d002395	Zm00001eb071540
Zm00001d002396	Zm00001eb071550
Zm00001d002401	chr2_12206061_12206699_-
Zm00001d002400	chr2_12206440_12208293_+
Zm00001d002402	Zm00001eb071570
Zm00001d002403	Zm00001eb071580
Zm00001d002405	Zm00001eb071590
Zm00001d002406	Zm00001eb071600
Zm00001d002407	Zm00001eb071610
Zm00001d002408	Zm00001eb071630
Zm00001d002409	Zm00001eb071640
Zm00001d002410	Zm00001eb071650
Zm00001d002411	chr2_12384346_12385187_+
Zm00001d002412	Zm00001eb071660
Zm00001d002413	Zm00001eb071670
Zm00001d002414	Zm00001eb071680
Zm00001d002415	Zm00001eb071700
Zm00001d002416	Zm00001eb071710
Zm00001d002418	Zm00001eb071720
Zm00001d002419	Zm00001eb071730
Zm00001d002420	Zm00001eb071740
Zm00001d002421	Zm00001eb071750
Zm00001d002422	Zm00001eb071760
Zm00001d002423	Zm00001eb071770
Zm00001d002424	Zm00001eb071780
Zm00001d002425	Zm00001eb071790
Zm00001d002426	Zm00001eb071800
Zm00001d002427	Zm00001eb071810
Zm00001d002428	Zm00001eb071820
Zm00001d002429	Zm00001eb071830
Zm00001d002430	chr2_12706877_12707577_+
Zm00001d002431	chr2_12735081_12737032_+
Zm00001d002432	Zm00001eb071850
Zm00001d002433	Zm00001eb071860
Zm00001d002434	Zm00001eb071870
Zm00001d002435	Zm00001eb071880
Zm00001d002436	Zm00001eb071890
Zm00001d002437	Zm00001eb071900
Zm00001d002437	Zm00001eb071910
Zm00001d002439	Zm00001eb071920
Zm00001d002440	Zm00001eb071930
Zm00001d002441	Zm00001eb071940
Zm00001d002444	Zm00001eb071960
Zm00001d002446	Zm00001eb071970
Zm00001d002447	Zm00001eb071980
Zm00001d002448	chr2_13154664_13155450_-
Zm00001d002449	Zm00001eb071990
Zm00001d002450	Zm00001eb072000
Zm00001d002451	chr2_13206050_13208027_+
Zm00001d002452	Zm00001eb072020
Zm00001d002454	Zm00001eb072030
Zm00001d002455	Zm00001eb072040
Zm00001d002456	Zm00001eb072050
Zm00001d002457	Zm00001eb072060
Zm00001d002458	Zm00001eb072080
Zm00001d002461	Zm00001eb072090
Zm00001d002462	Zm00001eb072110
Zm00001d002462	Zm00001eb072100
Zm00001d002463	Zm00001eb072110
Zm00001d002465	Zm00001eb072120
Zm00001d002467	chr2_13631879_13633090_-
Zm00001d002468	chr2_13641220_13641531_-
Zm00001d002469	Zm00001eb072140
Zm00001d002470	chr2_13741607_13742100_-
Zm00001d002471	Zm00001eb072150
Zm00001d002472	Zm00001eb072160
Zm00001d002473	Zm00001eb072170
Zm00001d002474	Zm00001eb072180
Zm00001d002475	Zm00001eb072190
Zm00001d002476	Zm00001eb072200
Zm00001d002477	Zm00001eb072210
Zm00001d002478	Zm00001eb072220
Zm00001d002479	Zm00001eb072230
Zm00001d002480	Zm00001eb072240
Zm00001d002481	Zm00001eb072250
Zm00001d002481	Zm00001eb072240
Zm00001d002482	Zm00001eb072260
Zm00001d002483	Zm00001eb072270
Zm00001d002485	Zm00001eb072330
Zm00001d002488	Zm00001eb072350
Zm00001d002489	Zm00001eb072360
Zm00001d002490	Zm00001eb072370
Zm00001d002491	Zm00001eb072390
Zm00001d002492	Zm00001eb072400
Zm00001d002494	Zm00001eb072410
Zm00001d002495	Zm00001eb072420
Zm00001d002496	Zm00001eb072430
Zm00001d002497	chr2_14279156_14284532_-
Zm00001d002498	Zm00001eb072440
Zm00001d002499	Zm00001eb072460
Zm00001d002500	Zm00001eb072480
Zm00001d002501	chr2_14402813_14403133_+
Zm00001d002503	Zm00001eb072510
Zm00001d002504	Zm00001eb072520
Zm00001d002505	Zm00001eb072530
Zm00001d002506	Zm00001eb072540
Zm00001d002507	Zm00001eb072550
Zm00001d002508	chr2_14507791_14507961_+
Zm00001d002509	chr2_14534340_14535268_-
Zm00001d002510	Zm00001eb072560
Zm00001d002511	Zm00001eb072570
Zm00001d002512	Zm00001eb072580
Zm00001d002514	Zm00001eb072600
Zm00001d002515	Zm00001eb072610
Zm00001d002517	Zm00001eb072630
Zm00001d002519	Zm00001eb072640
Zm00001d002520	Zm00001eb072650
Zm00001d002521	Zm00001eb072660
Zm00001d002522	Zm00001eb072670
Zm00001d002523	Zm00001eb072680
Zm00001d002524	Zm00001eb072690
Zm00001d002530	Zm00001eb072700
Zm00001d002531	Zm00001eb072710
Zm00001d002532	Zm00001eb072720
Zm00001d002533	Zm00001eb072730
Zm00001d002534	Zm00001eb072730
Zm00001d002534	Zm00001eb072740
Zm00001d002535	Zm00001eb072750
Zm00001d002536	Zm00001eb072760
Zm00001d002537	Zm00001eb072780
Zm00001d002538	Zm00001eb072790
Zm00001d002539	Zm00001eb072800
Zm00001d002540	Zm00001eb072810
Zm00001d002541	Zm00001eb072830
Zm00001d002542	Zm00001eb072840
Zm00001d002543	Zm00001eb072850
Zm00001d002545	Zm00001eb072870
Zm00001d002546	chr2_15382321_15382632_+
Zm00001d002547	Zm00001eb072880
Zm00001d002548	Zm00001eb072890
Zm00001d002549	Zm00001eb072900
Zm00001d002550	Zm00001eb072910
Zm00001d002551	Zm00001eb072920
Zm00001d002553	Zm00001eb072940
Zm00001d002554	Zm00001eb072950
Zm00001d002555	chr2_15539195_15550268_-
Zm00001d002556	Zm00001eb072960
Zm00001d002557	Zm00001eb072970
Zm00001d002558	Zm00001eb072980
Zm00001d002560	Zm00001eb073000
Zm00001d002562	Zm00001eb073010
Zm00001d002564	Zm00001eb073030
Zm00001d002565	Zm00001eb073040
Zm00001d002566	Zm00001eb073070
Zm00001d002567	Zm00001eb073080
Zm00001d002568	Zm00001eb073090
Zm00001d002569	Zm00001eb073100
Zm00001d002570	Zm00001eb073110
Zm00001d002571	chr2_15898442_15899230_+
Zm00001d002572	Zm00001eb073120
Zm00001d002573	Zm00001eb073130
Zm00001d002576	Zm00001eb073150
Zm00001d002577	Zm00001eb073170
Zm00001d002579	Zm00001eb073180
Zm00001d002580	Zm00001eb073200
Zm00001d002583	Zm00001eb073220
Zm00001d002584	Zm00001eb073240
Zm00001d002585	Zm00001eb073240
Zm00001d002589	Zm00001eb073250
Zm00001d002590	Zm00001eb073260
Zm00001d002591	Zm00001eb073280
Zm00001d002592	Zm00001eb073290
Zm00001d002593	Zm00001eb073300
Zm00001d002594	Zm00001eb073310
Zm00001d002595	Zm00001eb073330
Zm00001d002596	Zm00001eb073340
Zm00001d002597	Zm00001eb073350
Zm00001d002598	Zm00001eb073360
Zm00001d002599	Zm00001eb073370
Zm00001d002600	Zm00001eb073390
Zm00001d002601	Zm00001eb073400
Zm00001d002602	Zm00001eb073410
Zm00001d002603	Zm00001eb073420
Zm00001d002603	Zm00001eb073430
Zm00001d002606	chr2_16771569_16772496_-
Zm00001d002607	Zm00001eb073440
Zm00001d002608	Zm00001eb073460
Zm00001d002609	Zm00001eb073470
Zm00001d002610	Zm00001eb073480
Zm00001d002611	Zm00001eb073490
Zm00001d002612	chr2_16965589_16966784_-
Zm00001d002613	Zm00001eb073500
Zm00001d002614	Zm00001eb073510
Zm00001d002615	Zm00001eb073520
Zm00001d002616	Zm00001eb073530
Zm00001d002617	Zm00001eb073540
Zm00001d002618	Zm00001eb073550
Zm00001d002620	Zm00001eb073560
Zm00001d002621	Zm00001eb073580
Zm00001d002623	Zm00001eb073590
Zm00001d002624	Zm00001eb073610
Zm00001d002624	Zm00001eb073620
Zm00001d002625	Zm00001eb073630
Zm00001d002626	Zm00001eb073640
Zm00001d002628	chr2_17438559_17440073_-
Zm00001d002629	Zm00001eb073650
Zm00001d002630	Zm00001eb073660
Zm00001d002631	Zm00001eb073670
Zm00001d002632	Zm00001eb073680
Zm00001d002634	Zm00001eb073690
Zm00001d002635	Zm00001eb073700
Zm00001d002636	chr2_17866427_17867375_+
Zm00001d002637	chr2_17868146_17874432_-
Zm00001d002638	Zm00001eb073710
Zm00001d002639	Zm00001eb073720
Zm00001d002640	Zm00001eb073730
Zm00001d002641	Zm00001eb073740
Zm00001d002642	Zm00001eb073750
Zm00001d002644	Zm00001eb073760
Zm00001d002645	chr2_18256674_18258580_-
Zm00001d002647	Zm00001eb073770
Zm00001d002649	Zm00001eb073790
Zm00001d002650	Zm00001eb073810
Zm00001d002652	Zm00001eb073820
Zm00001d002654	Zm00001eb073830
Zm00001d002655	Zm00001eb073850
Zm00001d002655	Zm00001eb073860
Zm00001d002656	Zm00001eb073870
Zm00001d002658	Zm00001eb073880
Zm00001d002661	Zm00001eb073910
Zm00001d002662	Zm00001eb073920
Zm00001d002663	Zm00001eb073930
Zm00001d002665	Zm00001eb073940
Zm00001d002666	Zm00001eb073960
Zm00001d002668	Zm00001eb073980
Zm00001d002669	Zm00001eb073990
Zm00001d002670	Zm00001eb074000
Zm00001d002671	Zm00001eb074010
Zm00001d002671	Zm00001eb074020
Zm00001d002673	Zm00001eb074030
Zm00001d002674	Zm00001eb074040
Zm00001d002675	Zm00001eb074050
Zm00001d002676	Zm00001eb074060
Zm00001d002677	Zm00001eb074070
Zm00001d002678	Zm00001eb074080
Zm00001d002679	Zm00001eb074090
Zm00001d002680	Zm00001eb074100
Zm00001d002681	Zm00001eb074110
Zm00001d002682	Zm00001eb074120
Zm00001d007771	Zm00001eb074130
Zm00001d002684	Zm00001eb074140
Zm00001d002685	Zm00001eb074150
Zm00001d002687	Zm00001eb074170
Zm00001d002688	Zm00001eb074190
Zm00001d002688	Zm00001eb074200
Zm00001d002688	Zm00001eb074180
Zm00001d002690	Zm00001eb074210
Zm00001d002691	Zm00001eb074230
Zm00001d002693	chr2_19621047_19627226_-
Zm00001d002694	Zm00001eb074240
Zm00001d002695	Zm00001eb074270
Zm00001d002696	Zm00001eb074280
Zm00001d002698	Zm00001eb074290
Zm00001d002699	Zm00001eb074300
Zm00001d002700	Zm00001eb074310
Zm00001d002701	chr2_19768472_19768894_+
Zm00001d002703	Zm00001eb074340
Zm00001d002704	Zm00001eb074350
Zm00001d002705	Zm00001eb074360
Zm00001d002706	chr2_20029686_20050470_+
Zm00001d002707	Zm00001eb074370
Zm00001d002708	Zm00001eb074380
Zm00001d002710	Zm00001eb074390
Zm00001d002711	chr2_20171630_20174258_+
Zm00001d002712	Zm00001eb074400
Zm00001d002713	Zm00001eb074410
Zm00001d002714	Zm00001eb074420
Zm00001d002715	Zm00001eb074430
Zm00001d002716	Zm00001eb074440
Zm00001d002717	Zm00001eb074450
Zm00001d002718	Zm00001eb074460
Zm00001d002719	chr2_20592814_20593922_-
Zm00001d002720	Zm00001eb074470
Zm00001d002721	Zm00001eb074480
Zm00001d002722	Zm00001eb074500
Zm00001d002723	Zm00001eb074510
Zm00001d002724	chr2_20682039_20683336_-
Zm00001d002725	Zm00001eb074520
Zm00001d002726	Zm00001eb074530
Zm00001d002727	Zm00001eb074540
Zm00001d002729	Zm00001eb074550
Zm00001d002730	Zm00001eb074560
Zm00001d002731	Zm00001eb074570
Zm00001d002732	Zm00001eb074590
Zm00001d002733	Zm00001eb074600
Zm00001d002734	Zm00001eb074610
Zm00001d002735	Zm00001eb074620
Zm00001d002736	Zm00001eb074640
Zm00001d002737	Zm00001eb074650
Zm00001d002738	Zm00001eb074660
Zm00001d002739	Zm00001eb074680
Zm00001d002740	Zm00001eb074690
Zm00001d002741	Zm00001eb074700
Zm00001d002742	Zm00001eb074710
Zm00001d002743	Zm00001eb074720
Zm00001d002744	Zm00001eb074730
Zm00001d002745	chr2_21481137_21481672_-
Zm00001d006366	Zm00001eb074740
Zm00001d002747	Zm00001eb074750
Zm00001d002748	Zm00001eb074770
Zm00001d002750	Zm00001eb074810
Zm00001d002751	Zm00001eb074820
Zm00001d002753	chr2_21836259_21840715_+
Zm00001d002754	Zm00001eb074830
Zm00001d002755	Zm00001eb074840
Zm00001d002756	Zm00001eb074850
Zm00001d002757	Zm00001eb074870
Zm00001d002758	Zm00001eb074880
Zm00001d002759	Zm00001eb074890
Zm00001d002760	Zm00001eb074900
Zm00001d002761	Zm00001eb074910
Zm00001d002762	Zm00001eb074930
Zm00001d002768	Zm00001eb074940
Zm00001d002769	Zm00001eb074970
Zm00001d002770	Zm00001eb074980
Zm00001d002771	Zm00001eb074990
Zm00001d002772	Zm00001eb075000
Zm00001d002773	Zm00001eb075010
Zm00001d002774	chr2_22393222_22393479_+
Zm00001d002775	Zm00001eb075030
Zm00001d002776	Zm00001eb075040
Zm00001d002777	chr2_22463590_22466929_+
Zm00001d002778	Zm00001eb075050
Zm00001d002781	Zm00001eb075060
Zm00001d002782	Zm00001eb075080
Zm00001d002783	Zm00001eb075090
Zm00001d002784	Zm00001eb075100
Zm00001d002787	Zm00001eb075120
Zm00001d002788	Zm00001eb075130
Zm00001d002789	Zm00001eb075140
Zm00001d002790	Zm00001eb075150
Zm00001d002791	Zm00001eb075160
Zm00001d002793	chr2_22949660_22950093_-
Zm00001d002794	Zm00001eb075170
Zm00001d002796	Zm00001eb075190
Zm00001d002797	Zm00001eb075200
Zm00001d002798	Zm00001eb075210
Zm00001d002799	Zm00001eb075230
Zm00001d002801	Zm00001eb075250
Zm00001d002802	Zm00001eb075270
Zm00001d002803	Zm00001eb075290
Zm00001d002804	chr2_23322121_23323086_-
Zm00001d002805	chr2_23323818_23328519_-
Zm00001d002806	Zm00001eb075300
Zm00001d002809	chr2_23358947_23361793_+
Zm00001d002810	Zm00001eb075310
Zm00001d002811	Zm00001eb075320
Zm00001d002812	Zm00001eb075330
Zm00001d002813	Zm00001eb075340
Zm00001d002814	Zm00001eb075360
Zm00001d002815	Zm00001eb075370
Zm00001d002816	chr2_23633056_23633845_-
Zm00001d002817	Zm00001eb075380
Zm00001d002818	chr2_23703147_23704274_-
Zm00001d002819	Zm00001eb075390
Zm00001d002820	Zm00001eb075400
Zm00001d002821	Zm00001eb075410
Zm00001d002822	Zm00001eb075420
Zm00001d002823	Zm00001eb075450
Zm00001d002824	Zm00001eb075460
Zm00001d002825	Zm00001eb075470
Zm00001d002826	Zm00001eb075490
Zm00001d002827	Zm00001eb075500
Zm00001d002828	Zm00001eb075510
Zm00001d002829	Zm00001eb075520
Zm00001d002830	Zm00001eb075530
Zm00001d002833	Zm00001eb075540
Zm00001d002834	Zm00001eb075550
Zm00001d002835	Zm00001eb075560
Zm00001d002836	Zm00001eb075570
Zm00001d002837	Zm00001eb075580
Zm00001d002838	Zm00001eb075590
Zm00001d002839	Zm00001eb075600
Zm00001d002841	chr2_24427610_24428572_+
Zm00001d002842	Zm00001eb075630
Zm00001d002843	Zm00001eb075640
Zm00001d002844	Zm00001eb075650
Zm00001d002845	chr2_24584119_24584292_-
Zm00001d002846	chr2_24599899_24600280_+
Zm00001d002847	Zm00001eb075660
Zm00001d002848	Zm00001eb075670
Zm00001d002849	chr2_24809259_24809537_+
Zm00001d002850	Zm00001eb075700
Zm00001d002851	Zm00001eb075710
Zm00001d002852	Zm00001eb075720
Zm00001d002853	Zm00001eb075730
Zm00001d002854	Zm00001eb075740
Zm00001d002856	Zm00001eb075760
Zm00001d002857	Zm00001eb075780
Zm00001d002859	Zm00001eb075800
Zm00001d002860	Zm00001eb075810
Zm00001d002862	Zm00001eb075820
Zm00001d002863	Zm00001eb075830
Zm00001d002864	Zm00001eb075840
Zm00001d002865	Zm00001eb075850
Zm00001d002866	chr2_25167480_25170263_-
Zm00001d002867	Zm00001eb075900
Zm00001d002868	Zm00001eb075910
Zm00001d002869	Zm00001eb075920
Zm00001d002870	Zm00001eb075930
Zm00001d002871	Zm00001eb075940
Zm00001d002872	chr2_25333003_25333401_-
Zm00001d002873	Zm00001eb075960
Zm00001d002874	Zm00001eb075970
Zm00001d002875	Zm00001eb075980
Zm00001d002878	Zm00001eb076010
Zm00001d002879	Zm00001eb076020
Zm00001d002880	Zm00001eb076030
Zm00001d002881	Zm00001eb076040
Zm00001d002882	Zm00001eb076050
Zm00001d002884	Zm00001eb076070
Zm00001d002885	Zm00001eb076080
Zm00001d002886	chr2_25902184_25905515_+
Zm00001d002887	chr2_25926322_25929653_+
Zm00001d002888	Zm00001eb076110
Zm00001d002889	Zm00001eb076120
Zm00001d002890	Zm00001eb076130
Zm00001d002891	Zm00001eb076140
Zm00001d002893	Zm00001eb076150
Zm00001d002896	Zm00001eb076160
Zm00001d002897	Zm00001eb076170
Zm00001d002898	Zm00001eb076180
Zm00001d002899	Zm00001eb076190
Zm00001d002900	chr2_26330071_26330621_-
Zm00001d002901	Zm00001eb076200
Zm00001d002902	Zm00001eb076210
Zm00001d002904	Zm00001eb076220
Zm00001d002905	Zm00001eb076230
Zm00001d002905	Zm00001eb076240
Zm00001d002905	Zm00001eb076250
Zm00001d002906	Zm00001eb076260
Zm00001d002907	Zm00001eb076250
Zm00001d002912	Zm00001eb076280
Zm00001d002915	Zm00001eb076290
Zm00001d002916	Zm00001eb076300
Zm00001d002917	Zm00001eb076310
Zm00001d002919	Zm00001eb076340
Zm00001d002922	Zm00001eb076370
Zm00001d002925	Zm00001eb076380
Zm00001d002925	Zm00001eb076390
Zm00001d002928	Zm00001eb076410
Zm00001d002929	Zm00001eb076420
Zm00001d002930	chr2_27170503_27171287_+
Zm00001d002933	Zm00001eb076460
Zm00001d002934	Zm00001eb076470
Zm00001d002936	Zm00001eb076490
Zm00001d002937	Zm00001eb076500
Zm00001d002937	Zm00001eb076510
Zm00001d002937	Zm00001eb076520
Zm00001d002938	Zm00001eb076530
Zm00001d002939	Zm00001eb076540
Zm00001d002940	Zm00001eb076550
Zm00001d002941	Zm00001eb076560
Zm00001d002942	Zm00001eb076570
Zm00001d002943	Zm00001eb076600
Zm00001d002943	Zm00001eb076590
Zm00001d002944	Zm00001eb076610
Zm00001d002945	Zm00001eb076630
Zm00001d002945	Zm00001eb076640
Zm00001d002946	Zm00001eb076650
Zm00001d002949	Zm00001eb076660
Zm00001d002950	Zm00001eb076670
Zm00001d002951	Zm00001eb076680
Zm00001d002952	Zm00001eb076690
Zm00001d002953	Zm00001eb076700
Zm00001d002954	Zm00001eb076710
Zm00001d002955	Zm00001eb076720
Zm00001d002956	Zm00001eb076730
Zm00001d002958	Zm00001eb076740
Zm00001d002959	Zm00001eb076750
Zm00001d002960	Zm00001eb076760
Zm00001d002961	Zm00001eb076770
Zm00001d002962	Zm00001eb076780
Zm00001d002964	Zm00001eb076780
Zm00001d002965	Zm00001eb076800
Zm00001d002966	Zm00001eb076810
Zm00001d002967	Zm00001eb076820
Zm00001d002968	Zm00001eb076830
Zm00001d002969	Zm00001eb076840
Zm00001d002970	Zm00001eb076850
Zm00001d002971	Zm00001eb076870
Zm00001d002972	Zm00001eb076880
Zm00001d002973	Zm00001eb076890
Zm00001d002974	Zm00001eb076900
Zm00001d002975	chr2_28703533_28704478_-
Zm00001d002976	Zm00001eb076910
Zm00001d002978	Zm00001eb076930
Zm00001d002979	Zm00001eb076940
Zm00001d002980	Zm00001eb076950
Zm00001d002982	Zm00001eb076960
Zm00001d002984	chr2_29016003_29017502_+
Zm00001d002987	Zm00001eb076970
Zm00001d002988	Zm00001eb076980
Zm00001d002989	Zm00001eb076990
Zm00001d002990	chr2_29082101_29083045_+
Zm00001d002991	Zm00001eb077000
Zm00001d002992	Zm00001eb077010
Zm00001d002993	Zm00001eb077030
Zm00001d002994	chr2_29109698_29111214_+
Zm00001d002996	Zm00001eb077050
Zm00001d002996	Zm00001eb077060
Zm00001d002997	Zm00001eb077070
Zm00001d002998	chr2_29157131_29157972_-
Zm00001d002999	Zm00001eb077080
Zm00001d003000	Zm00001eb077090
Zm00001d003001	chr2_29279903_29280490_-
Zm00001d003002	Zm00001eb077100
Zm00001d003003	chr2_29334597_29335262_-
Zm00001d003004	Zm00001eb077110
Zm00001d003005	Zm00001eb077120
Zm00001d003006	Zm00001eb077130
Zm00001d003007	Zm00001eb077140
Zm00001d003009	Zm00001eb077160
Zm00001d003011	Zm00001eb077170
Zm00001d003012	Zm00001eb077180
Zm00001d003013	Zm00001eb077200
Zm00001d003014	Zm00001eb077210
Zm00001d003015	Zm00001eb077220
Zm00001d003016	Zm00001eb077230
Zm00001d003017	Zm00001eb077250
Zm00001d003018	Zm00001eb077260
Zm00001d003019	Zm00001eb077270
Zm00001d003019	Zm00001eb077280
Zm00001d003019	Zm00001eb077290
Zm00001d003020	Zm00001eb077300
Zm00001d003021	Zm00001eb077310
Zm00001d003022	Zm00001eb077320
Zm00001d003023	Zm00001eb077330
Zm00001d003024	Zm00001eb077340
Zm00001d003025	Zm00001eb077350
Zm00001d003027	Zm00001eb077370
Zm00001d003027	Zm00001eb077360
Zm00001d003028	chr2_29839688_29840274_+
Zm00001d003031	Zm00001eb077380
Zm00001d003033	Zm00001eb077390
Zm00001d003034	Zm00001eb077400
Zm00001d003035	chr2_30133120_30134168_+
Zm00001d003037	Zm00001eb077410
Zm00001d003038	Zm00001eb077430
Zm00001d003039	Zm00001eb077440
Zm00001d003040	Zm00001eb077450
Zm00001d003041	Zm00001eb077470
Zm00001d003043	Zm00001eb077480
Zm00001d003044	Zm00001eb077490
Zm00001d003045	Zm00001eb077500
Zm00001d003045	Zm00001eb077510
Zm00001d003046	Zm00001eb077520
Zm00001d003047	Zm00001eb077530
Zm00001d003048	Zm00001eb077540
Zm00001d003049	Zm00001eb077550
Zm00001d003050	Zm00001eb077560
Zm00001d003051	Zm00001eb077570
Zm00001d003052	Zm00001eb077580
Zm00001d003053	chr2_30620882_30622067_+
Zm00001d003057	Zm00001eb077610
Zm00001d003058	Zm00001eb077630
Zm00001d003059	Zm00001eb077640
Zm00001d003060	Zm00001eb077650
Zm00001d003061	chr2_30929131_30929759_-
Zm00001d003062	Zm00001eb077670
Zm00001d003066	Zm00001eb077710
Zm00001d003067	Zm00001eb077720
Zm00001d003068	chr2_31154347_31155391_+
Zm00001d003069	Zm00001eb077740
Zm00001d003070	Zm00001eb077750
Zm00001d003071	Zm00001eb077760
Zm00001d003072	Zm00001eb077770
Zm00001d003074	chr2_31215557_31216354_+
Zm00001d003075	chr2_31217453_31219260_+
Zm00001d003076	Zm00001eb077790
Zm00001d003079	Zm00001eb077820
Zm00001d003080	Zm00001eb077830
Zm00001d003081	Zm00001eb077840
Zm00001d003082	Zm00001eb077850
Zm00001d003083	Zm00001eb077860
Zm00001d003084	Zm00001eb077870
Zm00001d003085	Zm00001eb077880
Zm00001d003086	Zm00001eb077890
Zm00001d003087	Zm00001eb077900
Zm00001d003088	Zm00001eb077910
Zm00001d003089	Zm00001eb077920
Zm00001d003090	chr2_31927840_31930228_-
Zm00001d003091	Zm00001eb077930
Zm00001d003092	Zm00001eb077940
Zm00001d003093	chr2_32019214_32025490_-
Zm00001d003096	Zm00001eb077950
Zm00001d003098	chr2_32091736_32093284_-
Zm00001d003099	Zm00001eb077960
Zm00001d003101	Zm00001eb077980
Zm00001d003102	Zm00001eb077990
Zm00001d003103	Zm00001eb078000
Zm00001d003104	Zm00001eb078010
Zm00001d003106	Zm00001eb078040
Zm00001d003107	Zm00001eb078060
Zm00001d003108	Zm00001eb078070
Zm00001d003109	Zm00001eb078080
Zm00001d003110	Zm00001eb078090
Zm00001d003112	Zm00001eb078100
Zm00001d003114	Zm00001eb078110
Zm00001d003115	chr2_32767678_32768871_+
Zm00001d003116	Zm00001eb078120
